Subject,Grade,Standard,Prepared Graduate 1,Prepared Graduate 2,Prepared Graduate 3,Prepared Graduate 4,Prepared Graduate 5,Grade Level Expectation,GLE Code,Subheading,Statement
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,1. Recognize that physical properties of objects and/or materials help us understand the world.,SC.P.1.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Use senses to explore the properties of objects and materials (e.g., solids, liquids)."
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,1. Recognize that physical properties of objects and/or materials help us understand the world.,SC.P.1.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Make simple observations, predictions, explanations, and generalizations based on real-life experiences."
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,1. Recognize that physical properties of objects and/or materials help us understand the world.,SC.P.1.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Collect, describe, predict and record information using words, drawings, maps, graphs and charts."
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,1. Recognize that physical properties of objects and/or materials help us understand the world.,SC.P.1.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Observe, describe, and discuss living things and natural processes."
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,1. Recognize that physical properties of objects and/or materials help us understand the world.,SC.P.1.1,Supportive Teaching Practices/Adults May:,"Provide a variety of materials and objects (i.e., solids and liquids) to encourage children to observe, manipulate, sort, and describe physical properties (e.g., size, shape, color, texture, weight) using their five senses as well as simple tools (e.g., magnifiers, balance scales, funnels)."
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,1. Recognize that physical properties of objects and/or materials help us understand the world.,SC.P.1.1,Supportive Teaching Practices/Adults May:,"Provide opportunities for children to explore changes in matter (e.g., solids and liquids) when adding heat or cold, when mixing ingredients during cooking, when adding items to liquid (e.g., oil, pebbles)."
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,1. Recognize that physical properties of objects and/or materials help us understand the world.,SC.P.1.1,Supportive Teaching Practices/Adults May:,Provide each child with materials for experiments.
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,1. Recognize that physical properties of objects and/or materials help us understand the world.,SC.P.1.1,Supportive Teaching Practices/Adults May:,"Display child observations, predictions and projects."
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,1. Recognize that physical properties of objects and/or materials help us understand the world.,SC.P.1.1,Examples of Learning/Children May:,"Investigate changes in liquids and solids when substances are heated, cooled, combined etc."
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,1. Recognize that physical properties of objects and/or materials help us understand the world.,SC.P.1.1,Examples of Learning/Children May:,"Predict outcomes when altering materials (liquids and solids) and record using journals, charts, graphs, technology or drawings."
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,1. Recognize that physical properties of objects and/or materials help us understand the world.,SC.P.1.1,Examples of Learning/Children May:,"Participate in experiments, ask how and why questions."
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,1. Recognize that physical properties of objects and/or materials help us understand the world.,SC.P.1.1,Examples of Learning/Children May:,"Draw connections between classroom experiments/investigation and real world experiences (e.g., ""The water turned to ice like the lake next to my house because it was cold"")."
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,2. Recognize there are cause - and - effect relationships related to matter and energy.,SC.P.1.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Recognize and investigate cause - and - effect relationships in everyday experiences (pushing, pulling, kicking, rolling or blowing objects)."
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,2. Recognize there are cause - and - effect relationships related to matter and energy.,SC.P.1.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Notice change in matter.
